EARN,EMP#,DATE,HRS,RATE,AMOUNT
REG,1254,11/10/2012,4.06,30.48,124.97
REG,1254,11/10/2012,3.54,30.80,120.12
REG,1254,11/12/2012,6.20,30.48,193.04
REG,1254,11/12/2012,1.40,30.80,51.33
REG,1254,11/13/2012,6.20,30.48,193.04
REG,1254,11/13/2012,1.40,30.80,51.33
REG,1254,11/15/2012,6.20,30.48,193.04
REG,1254,11/15/2012,1.40,30.80,51.33
REG,1254,11/16/2012,6.20,30.48,193.04
REG,1254,11/16/2012,1.40,30.80,51.33
REG,1254,11/17/2012,8.00,30.48,243.84
REG,1254,11/19/2012,6.20,30.48,193.04
REG,1254,11/19/2012,1.40,30.80,51.33
REG,1254,11/20/2012,6.20,30.48,193.04
REG,1254,11/20/2012,1.40,30.80,51.33
REG,1254,11/23/2012,8.00,30.48,243.84
REG,1264,11/12/2012,5.16,30.48,160.53
REG,1264,11/12/2012,2.44,30.80,84.19
REG,1264,11/13/2012,5.16,30.48,160.53
REG,1264,11/13/2012,2.44,30.80,84.19
REG,1264,11/14/2012,5.16,30.48,160.53
REG,1264,11/14/2012,2.44,30.80,84.19
REG,1264,11/15/2012,5.16,30.48,160.53
REG,1264,11/15/2012,2.44,30.80,84.19
REG,1264,11/16/2012,5.16,30.48,160.53
REG,1264,11/16/2012,2.44,30.80,84.19
REG,1264,11/19/2012,5.16,30.48,160.53
REG,1264,11/19/2012,2.44,30.80,84.19
REG,1264,11/20/2012,5.16,30.48,160.53
REG,1264,11/20/2012,2.44,30.80,84.19
REG,1264,11/21/2012,5.16,30.48,160.53
REG,1264,11/21/2012,2.44,30.80,84.19
REG,1264,11/22/2012,8.00,30.48,243.84
REG,1264,11/23/2012,8.00,30.48,243.84
REG,1414,11/12/2012,0.00,30.48,0
REG,1414,11/13/2012,0.00,30.48,0
REG,1414,11/14/2012,0.00,30.48,0
REG,1414,11/15/2012,0.00,30.48,0
REG,1414,11/16/2012,0.00,30.48,0
REG,1414,11/17/2012,8.00,30.48,243.84
REG,1414,11/19/2012,8.00,30.48,243.84
REG,1414,11/20/2012,8.00,30.48,243.84
REG,1414,11/21/2012,8.00,30.48,243.84
REG,1695,11/12/2012,4.45,30.48,144.78
REG,1695,11/12/2012,3.15,30.80,100.1
REG,1695,11/13/2012,4.45,30.48,144.78
REG,1695,11/13/2012,3.15,30.80,100.1
REG,1695,11/14/2012,4.45,30.48,144.78
REG,1695,11/14/2012,3.15,30.80,100.1
REG,1695,11/15/2012,4.45,30.48,144.78
REG,1695,11/15/2012,3.15,30.80,100.1
REG,1695,11/16/2012,4.45,30.48,144.78
REG,1695,11/16/2012,3.15,30.80,100.1
REG,1695,11/19/2012,4.45,30.48,144.78
REG,1695,11/19/2012,3.15,30.80,100.1
REG,1695,11/20/2012,4.45,30.48,144.78
REG,1695,11/20/2012,3.15,30.80,100.1
REG,1695,11/21/2012,4.45,30.48,144.78
REG,1695,11/21/2012,3.15,30.80,100.1
